0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:37:41 +0900] "POST /JSP/joinAction.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:37:41 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:37:47 +0900] "GET /JSP/logoutAction.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:37:47 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3023
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:37:49 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:37:52 +0900] "POST /JSP/loginAction.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:37:52 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 2986
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:49:23 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:49:24 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:49:25 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:49:28 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:49:58 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:49:59 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:50:00 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:50:00 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:50:01 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:51:01 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:51:02 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 1605
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:51:03 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:45 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:45 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:46 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:46 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:46 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:46 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:47 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:47 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:47 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:47 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [26/Oct/2023:21:54:48 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2353
